rank,name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
18,Shenandoah University,Virginia,48700,86600,57,7
19,Randolph College,Virginia,47000,86100,50,23
20,Roanoke College,Virginia,48500,85100,53,18
21,Longwood University,Virginia,47300,83300,54,9
22,Radford University,Virginia,48900,82900,53,10
24,Virginia State University,Virginia,44900,81800,61,14
25,Ferrum College,Virginia,43000,80600,54,6
1,Seattle University,Washington,60600,113700,59,12
4,Gonzaga University,Washington,57800,107600,51,19
5,Washington State University,Washington,55900,103700,50,20
6,Seattle Pacific University,Washington,53600,103400,52,9
7,Whitman College,Washington,54600,102600,53,33
8,University of Puget Sound,Washington,54200,101300,45,21
9,Western Washington University,Washington,55000,99300,45,16
10,Pacific Lutheran University,Washington,54500,98100,53,20
11,Walla Walla University,Washington,53700,97800,54,22
14,Central Washington University,Washington,52700,93200,47,13
15,Saint Martin's University,Washington,53200,91800,60,29
16,Northwest University,Washington,50900,89000,51,3
17,Whitworth University,Washington,49900,88800,52,18
18,Bellevue College,Washington,50100,88500,56,14
20,Eastern Washington University,Washington,49500,87500,52,17
21,Cornish College of the Arts,Washington,49000,86400,39,0
22,Bastyr University,Washington,48400,86300,NA,0
24,Clark College,Washington,43500,78400,NA,9
25,Heritage University,Washington,41100,73600,NA,17
1,Milwaukee School of Engineering,Wisconsin,65700,117600,50,69
2,Marquette University,Wisconsin,57800,105900,52,25
3,University of Wisconsin-Madison,Wisconsin,57300,104400,48,33
4,University of Wisconsin-Platteville,Wisconsin,56800,100300,50,38
5,Lawrence University,Wisconsin,51500,98800,58,25
6,Bellin College,Wisconsin,55800,97600,94,0
7,University of Wisconsin-Eau Claire,Wisconsin,52100,93600,46,14
9,University of Wisconsin-Milwaukee,Wisconsin,50600,90300,50,17
10,Ripon College,Wisconsin,46300,89600,60,26
11,University of Wisconsin-Stout,Wisconsin,50400,89500,47,14
12,University of Wisconsin-Whitewater,Wisconsin,48900,89300,44,8
14,University of Wisconsin-La Crosse,Wisconsin,49600,88300,53,19
15,Edgewood College,Wisconsin,49500,87500,54,5
16,Carroll University,Wisconsin,45600,86500,49,14
17,Beloit College,Wisconsin,47400,85700,59,24
18,Carthage College,Wisconsin,48900,85400,48,17
19,University of Wisconsin-Oshkosh,Wisconsin,47700,84300,52,10
20,Cardinal Stritch University,Wisconsin,47000,82500,51,2
20,Wisconsin Lutheran College,Wisconsin,46200,82500,45,10
22,Viterbo University,Wisconsin,46800,81900,62,3
24,University of Wisconsin-Parkside,Wisconsin,46000,81400,47,17
25,University of Wisconsin-River Falls,Wisconsin,47100,81300,52,14
1,University of Wyoming,Wyoming,52400,98800,58,25
